movieId,tmdbId,title,genres,avgRatingMl,year,ratingTmdb,voteCount,adult,budget,revenue,popularity,runtime
1,862,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,7.8,1995,7.8,6875,FALSE,30000000,373554033,41.242805,81
2,8844,Jumanji (1995),Adventure|Children|Fantasy,6.4,1995,7,3925,FALSE,65000000,262797249,10.464645,104
3,15602,Grumpier Old Men (1995),Comedy|Romance,6.3,1995,6.5,111,FALSE,0,0,6.018862,101
4,31357,Waiting to Exhale (1995),Comedy|Drama|Romance,5.7,1995,5.9,42,FALSE,16000000,81452156,3.727525,127
5,11862,Father of the Bride Part II (1995),Comedy,6.1,1995,5.8,211,FALSE,0,76578911,7.568296,106
6,949,Heat (1995),Action|Crime|Thriller,7.7,1995,7.7,2292,FALSE,60000000,187436818,13.947279,170
7,11860,Sabrina (1995),Comedy|Romance,6.7,1995,6.1,181,FALSE,58000000,0,6.833782,127
8,45325,Tom and Huck (1995),Adventure|Children,6.3,1995,5.3,53,FALSE,0,0,6.447099,97
9,9091,Sudden Death (1995),Action,6,1995,5.5,219,FALSE,35000000,64350171,4.938465,106
10,710,GoldenEye (1995),Action|Adventure|Thriller,6.9,1995,6.7,1461,FALSE,58000000,352194034,30.748684,130
11,9087,"American President, The (1995)",Comedy|Drama|Romance,7.3,1995,6.6,245,FALSE,62000000,107879496,6.709055,106
12,12110,Dracula: Dead and Loving It (1995),Comedy|Horror,5.2,1995,5.8,264,FALSE,0,0,8.161903,88
13,21032,Balto (1995),Adventure|Animation|Children,6.5,1995,7.2,623,FALSE,0,11348324,10.469802,78
14,10858,Nixon (1995),Drama,6.9,1995,7,94,FALSE,44000000,13681765,4.751245,192
15,1408,Cutthroat Island (1995),Action|Adventure|Romance,5.4,1995,5.8,170,FALSE,98000000,10017322,7.822034,119
16,524,Casino (1995),Crime|Drama,7.6,1995,7.8,1683,FALSE,52000000,116112375,10.993269,178
17,4584,Sense and Sensibility (1995),Drama|Romance,7.9,1995,7.3,452,FALSE,16500000,1.35E+08,6.532602,136
18,5,Four Rooms (1995),Comedy,6.7,1995,6.6,701,FALSE,4000000,4300000,8.527802,98
19,9273,Ace Ventura: When Nature Calls (1995),Comedy,5.2,1995,6.1,1471,FALSE,30000000,212385533,19.431304,90
20,11517,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,5.8,1995,5.4,273,FALSE,60000000,77224232,7.34261,103
21,8012,Get Shorty (1995),Comedy|Crime|Thriller,7.2,1995,6.4,363,FALSE,30250000,115101622,10.804607,105
22,1710,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,6.6,1995,6.4,260,FALSE,0,0,6.511826,124
23,9691,Assassins (1995),Action|Crime|Thriller,6.3,1995,6,488,FALSE,50000000,30303072,9.261829,132
24,12665,Powder (1995),Drama|Sci-Fi,6.4,1995,6.3,178,FALSE,0,0,8.68215,111
25,451,Leaving Las Vegas (1995),Drama|Romance,7.4,1995,7.1,448,FALSE,3600000,49800000,8.509382,112
26,16420,Othello (1995),Drama,7.3,1995,6.7,43,FALSE,0,0,2.307846,123
27,9263,Now and Then (1995),Children|Drama,6.8,1995,6.6,117,FALSE,12000000,27400000,7.59599,100
28,17015,Persuasion (1995),Drama|Romance,8.1,1995,7.4,45,FALSE,0,0,2.777721,104
29,902,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,7.9,1995,7.6,367,FALSE,18000000,1738611,7.864133,108
30,37557,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,7.3,1995,6.7,20,FALSE,0,0,2.095124,108
31,9909,Dangerous Minds (1995),Drama,6.5,1995,6.4,299,FALSE,23000000,179519401,7.089298,99
32,63,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,7.8,1995,7.5,3102,FALSE,29500000,168840000,27.773801,129
33,78802,Wings of Courage (1995),Adventure|Romance|IMAX,6,1995,6.8,4,FALSE,0,0,0.765855,50
34,9598,Babe (1995),Children|Drama,7.3,1995,6,989,FALSE,30000000,254134910,10.893457,89
35,47018,Carrington (1995),Drama|Romance,7,1995,6.4,17,FALSE,0,0,1.232307,121
36,687,Dead Man Walking (1995),Crime|Drama,7.9,1995,7.3,448,FALSE,11000000,39363635,8.671422,122
37,139405,Across the Sea of Time (1995),Documentary|IMAX,6,1995,4.3,3,FALSE,0,0,0.215992,51
38,33689,It Takes Two (1995),Children|Comedy,5.7,1995,6.1,202,FALSE,0,0,6.782654,101
39,9603,Clueless (1995),Comedy|Romance,6.8,1995,7,1077,FALSE,12000000,0,10.08244,97
40,34615,"Cry, the Beloved Country (1995)",Drama,7.3,1995,6.7,13,FALSE,0,676525,1.11081,106
41,31174,Richard III (1995),Drama|War,7.7,1995,6.9,60,FALSE,0,0,4.837514,104
42,11443,Dead Presidents (1995),Action|Crime|Drama,6.1,1995,6.7,96,FALSE,10000000,0,8.309522,119
43,35196,Restoration (1995),Drama,6.9,1995,6.3,33,FALSE,19000000,0,2.478074,117
44,9312,Mortal Kombat (1995),Action|Adventure|Fantasy,5.3,1995,5.5,562,FALSE,18000000,122195920,8.735101,101
45,577,To Die For (1995),Comedy|Drama|Thriller,6.8,1995,6.7,232,FALSE,20000000,21284514,7.250868,106
46,11861,How to Make an American Quilt (1995),Drama|Romance,6.5,1995,6.4,51,FALSE,10000000,23574130,3.958598,116
47,807,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,8.1,1995,8.2,7334,FALSE,33000000,327311859,36.563947,127
48,10530,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,5.9,1995,6.8,1962,FALSE,55000000,346079773,14.827639,81
49,8391,When Night Is Falling (1995),Drama|Romance,7.2,1995,6.3,14,FALSE,0,0,3.183907,96
50,629,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,8.7,1995,8.1,4106,FALSE,6000000,23341568,22.139373,106
51,117164,Guardian Angel (1994),Action|Drama|Thriller,5.1,1994,6.3,3,FALSE,0,0,0.311884,93
52,11448,Mighty Aphrodite (1995),Comedy|Drama|Romance,7.1,1995,6.7,186,FALSE,15000000,6700000,9.110664,95
53,49133,Lamerica (1994),Adventure|Drama,7.4,1994,7.5,12,FALSE,0,0,0.907501,116
54,26441,"Big Green, The (1995)",Children|Comedy,5.7,1995,5.2,48,FALSE,0,0,4.143529,100
55,97406,Georgia (1995),Drama,6.5,1995,6,16,FALSE,0,0,4.172902,115
56,124057,Kids of the Round Table (1995),Adventure|Children|Fantasy,3.7,1995,3,1,FALSE,0,0,0.037203,89
57,9089,Home for the Holidays (1995),Drama,6.6,1995,6.3,50,FALSE,0,17519169,3.35612,103
58,11010,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,8,1994,7.8,262,FALSE,0,0,9.076997,108
59,99040,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,7.1,1995,6.8,4,FALSE,0,0,0.3253,100
60,11359,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,6.2,1995,5.9,172,FALSE,45000000,0,4.691631,96
61,17182,Eye for an Eye (1996),Drama|Thriller,6.6,1996,5.9,85,FALSE,20000000,0,4.658739,101
62,2054,Mr. Holland's Opus (1995),Drama,7.5,1995,7,135,FALSE,0,106269971,5.439346,137
63,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,6.1,1996,6.2,246,FALSE,0,0,8.730387,89
64,19760,Two if by Sea (1996),Comedy|Romance,5.7,1996,4.8,23,FALSE,0,0,2.651106,96
65,9536,Bio-Dome (1996),Comedy,4.8,1996,4.5,138,FALSE,15000000,0,6.030904,88
66,11525,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,4.3,1996,2.8,42,FALSE,0,2409225,3.967904,92
67,40628,Two Bits (1995),Drama,6.7,1995,5.4,14,FALSE,0,0,2.641185,85
68,4482,French Twist (Gazon maudit) (1995),Comedy|Romance,6.9,1995,6,61,FALSE,0,0,3.323786,95
69,10634,Friday (1995),Comedy,7.1,1995,7,621,FALSE,3500000,28215918,8.332164,91
70,755,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,6.6,1996,6.9,2079,FALSE,19000000,25836616,23.636609,108
71,11859,Fair Game (1995),Action,4.7,1995,4,73,FALSE,50000000,11534477,5.680131,91
72,28387,Kicking and Screaming (1995),Comedy|Drama,7,1995,7,46,FALSE,0,718490,2.288758,96
73,48750,"Misérables, Les (1995)",Drama|War,7.6,1995,6.5,12,FALSE,0,0,1.030879,175
74,20927,Bed of Roses (1996),Drama|Romance,6.6,1996,5.3,33,FALSE,0,19030691,2.960863,87
75,36929,Big Bully (1996),Comedy|Drama,4.9,1996,3.7,22,FALSE,15000000,2042530,1.121772,90
76,9102,Screamers (1995),Action|Sci-Fi|Thriller,6,1995,6,180,FALSE,20000000,5781885,7.384995,108
77,124626,Nico Icon (1995),Documentary,6.9,1995,7.3,3,FALSE,0,0,0.337301,70
78,27526,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,6.4,1995,6,95,FALSE,0,0,6.200389,111
79,9623,"Juror, The (1996)",Drama|Thriller,6.3,1996,5.5,117,FALSE,44000000,0,5.75149,118
80,46785,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,7.4,1995,7.3,27,FALSE,0,0,1.797933,85
81,400,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,6.5,1995,6.6,112,FALSE,8000000,529766,6.603607,116
82,880,Antonia's Line (Antonia) (1995),Comedy|Drama,8,1995,7.1,32,FALSE,900000,0,2.754144,102
83,146599,Once Upon a Time... When We Were Colored (1995),Drama|Romance,7.3,1995,4.5,2,FALSE,0,0,1.193854,115
85,8447,Angels and Insects (1995),Drama|Romance,7.1,1995,6.4,19,FALSE,0,0,1.23415,118
86,10534,White Squall (1996),Action|Adventure|Drama,7,1996,6.3,104,FALSE,38000000,10300000,5.274364,129
87,17414,Dunston Checks In (1996),Children|Comedy,4.7,1996,5,65,FALSE,16000000,0,4.018799,88
88,13997,Black Sheep (1996),Comedy,6.2,1996,5.9,138,FALSE,0,32,7.135691,87
89,2086,Nick of Time (1995),Action|Thriller,6.3,1995,6,240,FALSE,8169363,8175346,8.639395,90
90,61548,"Journey of August King, The (1995)",Drama,6.7,1995,6.7,3,FALSE,0,0,0.950939,91
92,9095,Mary Reilly (1996),Drama|Horror|Thriller,5.7,1996,5.7,94,FALSE,47000000,12379402,8.384716,104
93,12158,Vampire in Brooklyn (1995),Comedy|Horror|Romance,5.1,1995,4.6,141,FALSE,14000000,19800000,6.109951,100
94,9283,Beautiful Girls (1996),Comedy|Drama|Romance,7.1,1996,6.7,129,FALSE,0,0,6.414899,112
95,9208,Broken Arrow (1996),Action|Adventure|Thriller,6.2,1996,5.7,529,FALSE,50000000,150270147,8.888324,108
96,40154,In the Bleak Midwinter (1995),Comedy|Drama,7.4,1995,7.4,7,FALSE,0,0,1.085296,99
97,406,"Hate (Haine, La) (1995)",Crime|Drama,8,1995,7.9,924,FALSE,3000000,0,9.466097,98
98,45549,Shopping (1994),Action|Thriller,5,1994,5.7,16,FALSE,0,0,2.835328,105
99,63076,Heidi Fleiss: Hollywood Madam (1995),Documentary,6.2,1995,7.4,5,FALSE,0,0,0.939324,106
100,11062,City Hall (1996),Drama|Thriller,6.4,1996,6,80,FALSE,0,0,7.437351,111
101,13685,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,7.6,1996,6.7,344,FALSE,7000000,560069,5.805225,91
102,47475,Mr. Wrong (1996),Comedy,4.9,1996,3.7,23,FALSE,0,0,2.739302,96
103,2045,Unforgettable (1996),Mystery|Sci-Fi|Thriller,6.5,1996,5.4,33,FALSE,18000000,0,2.625221,106
104,9614,Happy Gilmore (1996),Comedy,6.8,1996,6.5,917,FALSE,10000000,0,17.070907,92
105,688,"Bridges of Madison County, The (1995)",Drama|Romance,6.7,1995,7.4,510,FALSE,24000000,182016617,9.523786,135
106,11907,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,6.9,1994,5.1,5,FALSE,0,0,0.583883,104
107,10874,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,6.4,1996,6.4,110,FALSE,0,34327391,6.047855,100
108,89333,Catwalk (1996),Documentary,6.2,1996,7,2,FALSE,0,0,0.516557,95
110,197,Braveheart (1995),Action|Drama|War,8.1,1995,7.7,4041,FALSE,72000000,2.10E+08,17.111768,177
111,103,Taxi Driver (1976),Crime|Drama|Thriller,8.2,1976,8.1,3405,FALSE,1300000,28262574,24.10145,114
112,33542,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,6.8,1995,6.6,290,FALSE,7500000,32392047,8.865872,91
113,43566,Before and After (1996),Drama|Mystery,6.2,1996,5.9,48,FALSE,35000000,0,4.019371,108
114,71754,Margaret's Museum (1995),Drama,7.2,1995,6.3,3,FALSE,0,0,0.385071,114
115,43612,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,6.8,1995,7.1,38,FALSE,13365000,0,1.388293,106
116,51352,Anne Frank Remembered (1995),Documentary,7.9,1995,7.4,5,FALSE,0,1,0.397592,117
117,16934,"Young Poisoner's Handbook, The (1995)",Crime|Drama,7.2,1995,7,22,FALSE,0,0,1.436912,99
118,10324,If Lucy Fell (1996),Comedy|Romance,6,1996,5.1,16,FALSE,0,0,2.035346,92
119,78406,"Steal Big, Steal Little (1995)",Comedy,5.5,1995,4.7,9,FALSE,25000000,6278139,1.107683,113
