,tmdbId,ratingTmdb,voteCount
1,862,7.8,6875
2,8844,7,3925
3,15602,6.5,111
4,31357,5.9,42
5,11862,5.8,211
6,949,7.7,2292
7,11860,6.1,181
8,45325,5.3,53
9,9091,5.5,219
10,710,6.7,1461
11,9087,6.6,245
12,12110,5.8,264
13,21032,7.2,623
14,10858,7,94
15,1408,5.8,170
16,524,7.8,1683
17,4584,7.3,452
18,5,6.6,701
19,9273,6.1,1471
20,11517,5.4,273
21,8012,6.4,363
22,1710,6.4,260
23,9691,6,488
24,12665,6.3,178
25,451,7.1,448
26,16420,6.7,43
27,9263,6.6,117
28,17015,7.4,45
29,902,7.6,367
30,37557,6.7,20
31,9909,6.4,299
32,63,7.5,3102
33,78802,6.8,4
34,9598,6,989
35,47018,6.4,17
36,687,7.3,448
37,139405,4.3,3
38,33689,6.1,202
39,9603,7,1077
40,34615,6.7,13
41,31174,6.9,60
42,11443,6.7,96
43,35196,6.3,33
44,9312,5.5,562
45,577,6.7,232
46,11861,6.4,51
47,807,8.2,7334
48,10530,6.8,1962
49,8391,6.3,14
50,629,8.1,4106
51,117164,6.3,3
52,11448,6.7,186
53,49133,7.5,12
54,26441,5.2,48
55,97406,6,16
56,124057,3,1
57,9089,6.3,50
58,11010,7.8,262
59,99040,6.8,4
60,11359,5.9,172
61,17182,5.9,85
62,2054,7,135
63,10607,6.2,246
64,19760,4.8,23
65,9536,4.5,138
66,11525,2.8,42
67,40628,5.4,14
68,4482,6,61
69,10634,7,621
70,755,6.9,2079
71,11859,4,73
72,28387,7,46
73,48750,6.5,12
74,20927,5.3,33
75,36929,3.7,22
76,9102,6,180
77,124626,7.3,3
78,27526,6,95
79,9623,5.5,117
80,46785,7.3,27
81,400,6.6,112
82,880,7.1,32
83,146599,4.5,2
84,188588,0,0
85,8447,6.4,19
86,10534,6.3,104
87,17414,5,65
88,13997,5.9,138
89,2086,6,240
90,61548,6.7,3
91,9095,5.7,94
92,12158,4.6,141
93,9283,6.7,129
94,9208,5.7,529
95,40154,7.4,7
96,406,7.9,924
97,45549,5.7,16
98,63076,7.4,5
99,11062,6,80
100,13685,6.7,344
101,47475,3.7,23
102,2045,5.4,33
103,9614,6.5,917
104,688,7.4,510
105,11907,5.1,5
106,10874,6.4,110
107,89333,7,2
108,96357,0,0
109,197,7.7,4041
110,103,8.1,3405
111,33542,6.6,290
112,43566,5.9,48
113,71754,6.3,3
114,43612,7.1,38
115,51352,7.4,5
116,16934,7,22
117,10324,5.1,16
118,78406,4.7,9
119,55731,5.3,25
120,32119,7,7
121,11066,5.3,171
122,11104,7.9,300
123,37975,7,39
124,2074,6.3,78
125,27793,4.4,122
126,44284,5.7,7
127,290157,8,1
128,110972,6.4,5
129,32622,5.5,10
130,73067,5.7,5
131,11863,5.1,59
132,55475,5.5,1
133,124636,0,0
134,9101,5.7,126
135,123360,6.5,2
136,5757,3.8,2
137,39428,6.7,6
138,124639,0,0
139,9302,6,64
140,11000,6.8,370
141,249882,7,2
142,16388,6.1,28
143,9737,6.5,2061
144,30765,5.1,35
145,10474,7.2,593
146,22279,6.1,13
147,30157,6.5,25
148,568,7.3,2015
149,11780,6.6,189
150,34996,6.2,56
151,414,5.2,1919
152,649,7.4,197
153,1873,6.5,26
154,5894,6.7,37
155,1775,5.8,73
156,8839,6,1405
157,20649,6.8,92
158,10329,5,263
159,8963,7,604
160,26564,7.6,92
161,8068,6.8,1088
162,8512,6.3,108
163,1572,7,2468
164,13552,5.7,71
165,259209,6,1
166,6520,5.9,395
167,9073,5.5,160
168,10428,6.2,486
169,17447,6.6,21
170,9886,5.5,456
171,9482,5.4,802
172,19326,4.2,40
173,9344,6.8,353
174,9071,7.3,80
175,8973,5.9,110
176,15730,6.9,9
177,47608,5.5,34
178,2293,6.7,480
179,9070,5.3,197
180,68274,5.3,14
181,48787,6.4,48
182,34574,5.7,18
183,1642,5.8,443
184,11472,5.5,212
185,36196,5.9,18
186,11980,6.4,159
187,58372,10,1
188,32646,7.1,83
189,10533,5.5,133
190,56088,5.3,2
191,10802,5,326
192,10149,7.2,151
193,18402,5.8,74
194,9348,5.5,547
195,139408,6.4,8
196,281,6.9,413
197,5967,7.6,151
198,79593,5,11
199,47939,6,22
200,36834,6.4,148
201,9090,6.4,145
202,3512,5.6,261
203,52856,6.4,9
204,77350,5.9,7
205,9560,6.6,214
206,9804,5.9,1283
207,31611,5,28
208,65796,6,35
209,49805,6.2,14
210,26258,4.9,34
211,50797,6.8,41
212,19155,7.7,52
213,76,7.7,1238
214,11017,6.1,544
215,37141,4.6,36
216,9382,6.3,65
217,6715,7.2,73
218,18256,5.9,52
219,22625,6.5,33
220,2292,7.4,971
221,1909,6.3,243
222,8984,6,282
223,61813,2.5,1
224,4954,5.2,111
225,62488,5.4,12
226,10531,7,115
227,11929,7.1,232
228,8467,6.5,2348
229,10451,7.5,84
230,20156,6.6,83
231,18395,4.4,32
232,522,7.4,806
233,397,6.2,239
234,10525,6.1,50
235,27985,5.7,30
236,15789,6.7,510
237,27303,5.1,31
238,21183,6.6,62
239,10954,5.9,27
240,47867,4,6
241,43475,5,2
242,72031,5.5,11
243,14275,7.7,116
244,1024,7,365
245,17207,5.8,21
246,13701,7,114
247,14819,6,120
248,32631,5.7,30
249,11777,5.8,146
250,628,7.2,1942
251,87729,5.2,13
252,18713,4.9,11
253,6280,4.8,459
254,9061,6.1,149
255,37108,4.3,50
256,6071,5.7,98
257,11,8.1,8413
258,9587,7,302
259,19101,7.5,252
260,49980,7.2,17
261,17961,6.5,30
262,18183,6.6,86
263,4476,7.3,780
264,11008,6,213
265,47504,6.5,42
266,32325,5.8,12
267,43742,4.3,15
268,28313,6.4,31
269,11318,6.8,77
270,3036,6.2,358
271,40490,4.9,50
272,24070,5.4,56
273,8986,5.7,67
274,10510,6.5,275
275,17402,5.6,12
276,38722,6.8,12
277,8438,6.9,171
278,11593,7,73
279,1945,6.3,168
280,39310,6.8,10
281,109560,0,0
282,56428,3.8,5
283,63105,4.5,14
284,131957,7.4,4
285,241,7,1160
286,9058,6.4,122
287,527,7.7,132
288,18220,4.5,35
289,6950,6.3,643
290,101,8.2,5292
291,63020,6.6,9
292,2307,7,2
293,680,8.3,10779
294,41478,6.1,9
295,25296,6.2,10
296,40156,6.4,39
297,11450,7.1,323
298,30304,6.9,7
299,10452,6.9,84
300,12106,6.3,531
301,161495,6.3,9
302,3586,5.2,50
303,110,7.9,324
304,108,7.7,402
305,109,7.4,274
306,159185,7,3
307,36357,5.1,18
308,92769,4.7,3
309,28033,5.4,8
310,22586,6.4,319
311,14334,6.3,20
312,2636,5.5,388
313,2164,6.8,1190
314,11395,6.2,652
315,278,8.5,9752
316,9905,7,320
317,87078,6.3,9
318,12527,7.2,18
319,20306,6.6,123
320,36614,6.1,23
321,27993,5.6,29
322,31439,7.7,72
323,9067,5.4,173
324,9059,6.7,119
325,193,6.4,539
326,25066,5.5,41
327,46797,5.8,8
328,12122,5.6,210
329,11381,6.7,382
330,32636,6.4,20
331,36141,5.6,20
332,95963,7.1,5
333,1587,7.6,1204
334,9271,5.4,197
335,2064,6.5,429
336,19855,6.2,48
337,60855,5.8,4
338,236,6.9,131
339,48287,5.3,30
340,3049,6.4,2152
341,2759,7.2,230
342,12635,6.1,43
343,10497,7,157
344,11382,7,166
345,9331,6.4,474
346,10731,6.4,363
347,10464,6.5,114
348,34152,6.7,39
349,9495,7.3,1229
350,29973,6.1,32
351,888,5,761
352,13,8.3,10141
353,712,6.6,847
354,16295,6.4,68
355,48992,6.2,5
356,10879,5.5,60
357,10660,6.2,183
358,10714,5.9,129
359,41647,7.3,6
360,8587,8.1,6973
361,1689,6.1,110
362,11596,6.4,377
363,854,6.7,3314
364,9359,6.6,575
365,23333,6.5,24
366,36593,6.4,668
367,12280,6.3,57
368,2788,6.5,234
369,10427,6.5,87
370,11011,5.4,586
371,49803,5.1,8
372,8987,6.2,274
373,1637,6.8,2198
374,15128,5.5,27
375,8831,5.6,365
376,36955,6.8,1372
377,10449,6.1,88
378,10395,6,289
379,12160,6.5,251
380,40480,4.7,14
381,52038,6.7,3
382,29444,5.8,27
383,26352,6.1,37
384,39953,4.5,2
385,41580,6,11
386,315,6.5,75
387,22067,6.1,14
388,18242,6.9,10
389,11667,4.1,424
390,32502,6.5,17
391,267188,0,0
392,28732,6.1,7
393,75555,3.7,9
394,42981,8,5
395,278939,7.5,2
396,291731,0,0
397,226229,4,1
398,203119,0,0
399,172923,5,1
400,316098,4,1
401,8011,4.5,145
402,171857,5,2
403,2654,7.2,403
404,18069,7.4,31
405,19092,6.8,54
406,2758,6.6,730
407,38129,4.5,4
408,10436,7.1,234
409,13595,5.8,260
410,46094,5.3,52
411,9409,5,73
412,11853,4.8,82
413,16771,6.6,22
414,46924,5.1,18
415,11041,5.1,115
416,306,5.6,542
417,14522,6.6,87
418,26203,6.2,52
419,178,6,152
420,19819,5.9,52
421,57834,6.1,36
422,4722,5.8,122
423,18215,4.7,75
424,1607,7.4,563
425,26391,5,33
426,117553,4.1,14
427,6075,7.7,1023
428,11310,4.8,122
429,18658,5.8,26
430,9350,6.1,744
431,9612,4.8,286
432,2124,5.3,139
433,26261,5.1,44
434,19176,5.1,47
435,49299,5.4,12
436,11566,6.4,246
437,9571,7.4,722
438,9739,6.4,1214
439,24257,7.3,13
440,34444,4.3,40
441,26141,5.4,49
442,10997,7.8,130
443,50463,3.6,8
444,10443,6.8,101
445,20239,5.9,15
446,16297,6.2,64
447,18551,6.3,30
448,25440,4,4
449,9024,5.8,92
450,37233,6.6,620
451,1634,6,548
452,13815,7.5,67
453,5503,7.3,1502
454,35588,5.8,51
455,2087,5.4,105
456,41579,4.6,57
457,18620,4.4,6
458,41006,5.1,15
459,4916,5.9,30
460,2019,6.1,291
461,31642,6.5,65
462,9255,6.2,571
463,26271,4.9,14
464,10612,6.1,101
465,2259,6.7,182
466,16097,4.7,13
467,11934,7.1,343
468,106143,5.6,20
469,12475,4.7,66
470,9386,6.8,488
471,7984,7.7,493
472,59930,3.9,5
473,15765,7,89
474,31643,4.7,21
475,6,6.3,95
476,329,7.7,6075
477,10909,6.4,253
478,507,6.2,131
479,34024,6.7,43
480,29918,6.1,65
481,9593,6.1,882
482,42580,5.3,29
483,22317,5.7,47
484,1413,6.7,43
485,12121,5.4,113
486,2246,6,134
487,10502,6.3,162
488,10440,7.2,223
489,9516,7.3,230
490,2320,5.9,304
491,5879,6.5,131
492,83718,6.9,9
493,11971,7,244
494,2625,5.8,49
495,31911,5.4,12
496,788,7,2153
497,21450,7.4,134
498,11231,4.8,261
499,41588,4.8,6
500,10447,6,119
501,31586,4.8,85
502,9300,6.7,73
503,9559,7.3,462
504,9800,7.6,1324
505,713,7.2,386
506,8291,6.7,62
507,18133,6.1,29
508,25557,5.7,51
509,22588,5.9,15
510,10872,6.7,117
511,1245,7.5,297
512,11858,6,103
513,7007,5.9,231
514,10467,5.6,53
515,5550,4.3,373
516,8005,6.5,712
517,2088,5.8,49
518,10412,6.7,166
519,47889,5.6,11
520,14534,7.3,218
521,56583,4.7,6
522,41878,6.2,15
523,424,8.4,5495
524,35233,5.1,42
525,14291,7.2,119
526,103413,6.1,9
527,11236,7.2,285
528,11592,6.5,174
529,8850,5.6,170
530,10445,6.8,73
531,695,7,174
532,43535,5.6,31
533,12519,5.2,37
534,23210,6.4,90
535,858,6.5,784
536,867,5.1,179
537,78,7.9,5326
538,13203,5.7,101
539,10442,6.1,156
540,11074,5.4,267
541,33367,4.2,5
542,9607,4,303
543,17585,6.1,67
544,9057,5.1,101
545,20967,7.6,10
546,10635,6.3,72
547,9479,7.7,2856
548,10057,6.1,269
549,11969,7.4,729
550,41590,5.4,9
551,319,7.5,930
552,26408,7.2,19
553,15139,6.2,225
554,161158,6,2
555,218473,0,1
556,85247,3,2
557,11446,6.9,129
558,51980,6.5,67
559,24405,4.9,31
560,11655,6.4,185
561,11800,4.4,5
562,8223,6.7,72
563,14587,5.1,11
564,31504,6.1,26
565,41653,6.2,10
566,53185,0,0
567,95743,3,1
568,23637,7.1,109
569,17600,5.5,35
570,10897,6.2,267
571,349394,0,0
572,21352,4.9,39
573,68806,6.3,9
574,37345,5,6
575,32562,7.1,34
576,47507,6.6,7
577,25403,7.1,75
578,124304,6,1
579,9066,6,104
580,771,7.1,3333
581,251,6.9,1838
582,812,7.5,4303
583,280,7.8,5058
584,581,7.6,1352
585,80350,6,6
586,268,7.1,2675
587,274,8.2,5762
588,408,6.9,2575
589,10020,7.6,3867
590,10895,6.9,1857
591,114,7.1,2339
592,41043,5.9,7
593,576,7.6,340
594,15477,5.8,18
595,59146,6.5,1
596,124472,7,2
597,30528,5.9,23
598,7300,6.1,202
599,10824,5.1,77
600,261246,4.5,2
601,275,7.8,2668
602,25059,6,124
603,11827,6.3,190
604,8766,4.9,134
605,23570,4.8,41
606,47333,7,65
607,54850,4,3
608,51242,7.2,12
609,10112,7.2,1678
610,4307,6.9,57
611,46029,5.4,34
612,32308,3.9,28
613,88893,6.9,8
614,52873,6.9,8
615,123505,5,1
616,340210,4.7,3
617,44281,7.4,5
618,28121,5.5,19
619,12520,6.5,98
620,1592,7.5,827
621,166901,6,1
622,36447,5.7,6
623,19042,5,62
624,38884,7,65
625,47449,6.5,6
626,36259,3.7,24
627,41852,5.7,15
628,40926,3,3
629,9099,5.5,117
630,2021,5.4,13
631,61752,5.4,25
632,10988,5.4,98
633,11479,6,182
634,398959,6.7,3
635,287305,4,1
636,339428,0,0
637,12652,7,22
638,10684,6.3,288
639,954,6.7,3233
640,68445,7.7,6
641,18989,6.2,25
642,10801,5.4,8
643,54285,6.2,10
644,8840,6.4,707
645,278978,0,0
646,124625,0,0
647,11107,5.4,55
648,16417,6,5
649,70934,0,0
650,10363,7.3,88
651,161070,4.1,4
652,10539,6.2,452
653,10543,6.1,198
654,18414,5.9,30
655,47502,4.8,4
656,11902,7.5,187
657,27098,6.4,29
658,25087,5.1,28
659,5801,7.9,78
660,896,8.3,50
661,3065,7,79
662,318177,4,1
663,2300,6.5,1780
664,8069,5.7,185
665,288173,8,2
666,187851,4.3,2
667,27768,7.5,10
668,221917,8,2
669,8072,6.9,119
670,35797,6.7,34
671,88030,7.5,4
672,185191,0,0
673,83857,5.7,10
674,33245,6.2,10
675,124460,8,1
676,27281,5,50
677,105045,5,1
678,40001,5.4,31
679,29621,4.2,21
680,117730,6.5,2
681,20762,5.8,79
682,37144,5,10
683,48260,7.5,8
684,12656,5.4,39
685,38867,3.4,6
686,277270,0,0
687,25969,6.7,33
688,44103,6.9,17
689,753,7.1,47
690,43634,5.1,16
691,9103,5.4,161
692,90214,7,11
693,29649,5.1,8
694,10990,6.1,90
695,8866,5.7,115
696,12233,6.6,485
697,23449,4.9,42
698,36355,5.3,98
699,37667,6,12
700,90148,4.4,13
701,922,7.2,510
702,11876,6.7,33
703,52633,6.6,34
704,62364,5.6,6
705,11687,7.1,561
706,9304,5.6,195
707,73183,10,1
708,131232,8,1
709,9100,6.3,489
710,20759,5.1,36
711,46063,5.2,15
712,365371,0,0
713,32513,6.8,28
714,40651,7.7,14
715,36915,5.1,22
716,40507,4.9,9
717,9802,6.9,1740
718,25697,4.6,9
719,21588,7.1,137
720,664,6.1,1168
721,11867,3.9,143
722,47119,6.5,2
723,9323,7.8,1037
724,10280,5.6,159
725,10535,4.9,191
726,124613,0,0
727,532,7.5,274
728,26744,6.6,40
729,16299,4.1,23
730,10547,6.1,243
731,245268,0,0
732,935,8,1880
733,55613,6.7,7
734,215107,0,0
735,41007,6.9,8
736,35645,5.8,26
737,110465,6.8,5
738,255546,10,1
739,40751,7.1,90
740,275096,8,3
741,85778,0,0
742,11101,7.3,140
743,9826,4.8,177
744,9879,4.5,251
745,63564,5.8,21
746,22621,7.1,17
747,7095,5.9,432
748,26890,6.3,37
749,46732,5.9,7
750,124633,0,0
751,202425,5.7,3
752,196940,5.3,3
753,77771,7.2,14
754,181083,5,2
755,41225,5.5,29
756,188589,0,0
757,87190,6.3,5
758,627,7.9,3582
759,32872,4.1,6
760,602,6.7,4021
761,14553,6.7,137
762,9566,5.7,253
763,10545,6.9,1567
764,9894,5.7,751
765,11543,6.6,295
766,9268,5.7,662
767,52059,7.4,5
768,9327,5.4,955
769,123763,6.8,3
770,81949,7.2,6
771,42005,0,0
772,124306,8,1
773,183955,7,1
774,44535,5.3,4
775,44495,7.5,6
776,78285,0,0
777,11228,5.8,490
778,10779,6.7,504
779,26748,6.9,100
780,38223,5.7,59
781,9294,6.2,398
782,49963,6.7,9
783,11363,5.5,87
784,1645,7.1,655
785,31546,6,12
786,77056,6.5,6
787,36344,5.3,39
788,18550,5.1,55
789,11511,3.6,74
790,172198,6,1
791,34170,5.4,47
792,281085,6,3
793,109478,4,1
794,124645,7,2
795,12606,5.9,57
796,69895,6,1
797,35206,7.2,10
798,151489,6.5,2
799,4837,6.7,31
800,12632,6.6,5
801,9098,5.2,9
802,282919,4,1
803,124614,6.5,6
804,18975,5,70
805,11962,5.1,107
806,2925,6.5,219
807,28628,7.3,11
808,3595,6.4,598
809,9308,5.4,59
810,92381,5.4,8
811,18555,6.4,42
812,12123,5.4,343
813,10830,6.9,1229
814,3573,6.7,206
815,10546,5.2,141
816,18862,4.8,38
817,31417,7.5,164
818,9431,4.9,82
819,124619,7,1
820,297645,0,0
821,48144,7,2
822,46986,7.3,6
823,144982,5,1
824,47907,6.8,19
825,10061,5.7,484
826,36266,7,30
827,549,6.7,116
828,10478,5.8,191
829,66634,6,1
