,tmdbId,adult,budget,revenue,popularity,runtime
1,862,FALSE,30000000,373554033,41.242805,81
2,8844,FALSE,65000000,262797249,10.464645,104
3,15602,FALSE,0,0,6.018862,101
4,31357,FALSE,16000000,81452156,3.727525,127
5,11862,FALSE,0,76578911,7.568296,106
6,949,FALSE,60000000,187436818,13.947279,170
7,11860,FALSE,58000000,0,6.833782,127
8,45325,FALSE,0,0,6.447099,97
9,9091,FALSE,35000000,64350171,4.938465,106
10,710,FALSE,58000000,352194034,30.748684,130
11,9087,FALSE,62000000,107879496,6.709055,106
12,12110,FALSE,0,0,8.161903,88
13,21032,FALSE,0,11348324,10.469802,78
14,10858,FALSE,44000000,13681765,4.751245,192
15,1408,FALSE,98000000,10017322,7.822034,119
16,524,FALSE,52000000,116112375,10.993269,178
17,4584,FALSE,16500000,1.35E+08,6.532602,136
18,5,FALSE,4000000,4300000,8.527802,98
19,9273,FALSE,30000000,212385533,19.431304,90
20,11517,FALSE,60000000,77224232,7.34261,103
21,8012,FALSE,30250000,115101622,10.804607,105
22,1710,FALSE,0,0,6.511826,124
23,9691,FALSE,50000000,30303072,9.261829,132
24,12665,FALSE,0,0,8.68215,111
25,451,FALSE,3600000,49800000,8.509382,112
26,16420,FALSE,0,0,2.307846,123
27,9263,FALSE,12000000,27400000,7.59599,100
28,17015,FALSE,0,0,2.777721,104
29,902,FALSE,18000000,1738611,7.864133,108
30,37557,FALSE,0,0,2.095124,108
31,9909,FALSE,23000000,179519401,7.089298,99
32,63,FALSE,29500000,168840000,27.773801,129
33,78802,FALSE,0,0,0.765855,50
34,9598,FALSE,30000000,254134910,10.893457,89
35,47018,FALSE,0,0,1.232307,121
36,687,FALSE,11000000,39363635,8.671422,122
37,139405,FALSE,0,0,0.215992,51
38,33689,FALSE,0,0,6.782654,101
39,9603,FALSE,12000000,0,10.08244,97
40,34615,FALSE,0,676525,1.11081,106
41,31174,FALSE,0,0,4.837514,104
42,11443,FALSE,10000000,0,8.309522,119
43,35196,FALSE,19000000,0,2.478074,117
44,9312,FALSE,18000000,122195920,8.735101,101
45,577,FALSE,20000000,21284514,7.250868,106
46,11861,FALSE,10000000,23574130,3.958598,116
47,807,FALSE,33000000,327311859,36.563947,127
48,10530,FALSE,55000000,346079773,14.827639,81
49,8391,FALSE,0,0,3.183907,96
50,629,FALSE,6000000,23341568,22.139373,106
51,117164,FALSE,0,0,0.311884,93
52,11448,FALSE,15000000,6700000,9.110664,95
53,49133,FALSE,0,0,0.907501,116
54,26441,FALSE,0,0,4.143529,100
55,97406,FALSE,0,0,4.172902,115
56,124057,FALSE,0,0,0.037203,89
57,9089,FALSE,0,17519169,3.35612,103
58,11010,FALSE,0,0,9.076997,108
59,99040,FALSE,0,0,0.3253,100
60,11359,FALSE,45000000,0,4.691631,96
61,17182,FALSE,20000000,0,4.658739,101
62,2054,FALSE,0,106269971,5.439346,137
63,10607,FALSE,0,0,8.730387,89
64,19760,FALSE,0,0,2.651106,96
65,9536,FALSE,15000000,0,6.030904,88
66,11525,FALSE,0,2409225,3.967904,92
67,40628,FALSE,0,0,2.641185,85
68,4482,FALSE,0,0,3.323786,95
69,10634,FALSE,3500000,28215918,8.332164,91
70,755,FALSE,19000000,25836616,23.636609,108
71,11859,FALSE,50000000,11534477,5.680131,91
72,28387,FALSE,0,718490,2.288758,96
73,48750,FALSE,0,0,1.030879,175
74,20927,FALSE,0,19030691,2.960863,87
75,36929,FALSE,15000000,2042530,1.121772,90
76,9102,FALSE,20000000,5781885,7.384995,108
77,124626,FALSE,0,0,0.337301,70
78,27526,FALSE,0,0,6.200389,111
79,9623,FALSE,44000000,0,5.75149,118
80,46785,FALSE,0,0,1.797933,85
81,400,FALSE,8000000,529766,6.603607,116
82,880,FALSE,900000,0,2.754144,102
83,146599,FALSE,0,0,1.193854,115
84,8447,FALSE,0,0,1.23415,118
85,10534,FALSE,38000000,10300000,5.274364,129
86,17414,FALSE,16000000,0,4.018799,88
87,13997,FALSE,0,32,7.135691,87
88,2086,FALSE,8169363,8175346,8.639395,90
89,61548,FALSE,0,0,0.950939,91
90,9095,FALSE,47000000,12379402,8.384716,104
91,12158,FALSE,14000000,19800000,6.109951,100
92,9283,FALSE,0,0,6.414899,112
93,9208,FALSE,50000000,150270147,8.888324,108
94,40154,FALSE,0,0,1.085296,99
95,406,FALSE,3000000,0,9.466097,98
96,45549,FALSE,0,0,2.835328,105
97,63076,FALSE,0,0,0.939324,106
98,11062,FALSE,0,0,7.437351,111
99,13685,FALSE,7000000,560069,5.805225,91
100,47475,FALSE,0,0,2.739302,96
101,2045,FALSE,18000000,0,2.625221,106
102,9614,FALSE,10000000,0,17.070907,92
103,688,FALSE,24000000,182016617,9.523786,135
104,11907,FALSE,0,0,0.583883,104
105,10874,FALSE,0,34327391,6.047855,100
106,89333,FALSE,0,0,0.516557,95
107,197,FALSE,72000000,2.10E+08,17.111768,177
108,103,FALSE,1300000,28262574,24.10145,114
109,33542,FALSE,7500000,32392047,8.865872,91
110,43566,FALSE,35000000,0,4.019371,108
111,71754,FALSE,0,0,0.385071,114
112,43612,FALSE,13365000,0,1.388293,106
113,51352,FALSE,0,1,0.397592,117
114,16934,FALSE,0,0,1.436912,99
115,10324,FALSE,0,0,2.035346,92
116,78406,FALSE,25000000,6278139,1.107683,113
117,55731,FALSE,0,0,6.869359,100
118,32119,FALSE,0,0,0.822263,90
119,11066,FALSE,40000000,70100000,6.761121,117
120,11104,FALSE,0,0,6.586508,102
121,37975,FALSE,0,0,2.523055,113
122,2074,FALSE,7000000,14702438,6.274496,92
123,27793,FALSE,17000000,0,7.691225,95
124,44284,FALSE,0,0,0.277014,116
125,290157,FALSE,0,0,0.090455,87
126,110972,FALSE,0,0,1.106049,95
127,32622,FALSE,0,0,1.769862,99
128,73067,FALSE,0,0,0.487491,101
129,11863,FALSE,50000000,9851610,4.091176,95
130,55475,FALSE,0,0,0.038747,102
131,9101,FALSE,0,0,6.459099,92
132,123360,FALSE,0,0,0.635721,97
133,5757,FALSE,0,209935,0.364706,86
134,39428,FALSE,0,0,1.051694,91
135,9302,FALSE,60000000,0,4.476185,119
136,11000,FALSE,31000000,185260553,7.742004,117
137,249882,FALSE,0,0,0.962923,125
138,16388,FALSE,0,0,1.333338,98
139,9737,FALSE,19000000,141407024,21.111846,118
140,30765,FALSE,0,0,2.439616,81
141,10474,FALSE,0,0,9.221507,102
142,22279,FALSE,4000000,851545,4.269464,113
143,30157,FALSE,0,0,1.42205,105
144,568,FALSE,52000000,355237933,32.675124,140
145,11780,FALSE,28000000,31596911,8.15624,139
146,34996,FALSE,0,0,3.764061,82
147,414,FALSE,100000000,336529144,23.287363,121
148,649,FALSE,0,0,7.131485,101
